TrialIndex,StimType,Order,Dissimilarity,Displacement,Distortion,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate2,Ycoordinate2,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,FILLER
100,LLP,1,2,2,0,6,1,,,,-251.6011704,163.3917105,62.37350725,293.4442802,-222.9434476,-200.7391819,251.6011704,-163.3917105,0
101,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
102,ERP,2,0,0,0,0,1,,,,-222.9434476,200.7391819,-212.1320344,-212.1320344,107.5103849,280.0741279,222.9434476,-200.7391819,0
103,OLP,2,2,0,2,0,1,,,,-233.1437884,188.7961173,-163.3917105,-251.6011704,298.3565686,31.35853898,233.1437884,-188.7961173,0
104,OLP,1,4,0,4,8,1,,,,-259.8076211,150,-92.70509831,-285.3169549,-242.7050983,-176.3355757,259.8076211,-150,0
105,LLP,1,3,3,0,8,1,,,,-267.3019573,136.1971499,-92.70509831,-285.3169549,-77.64571353,-289.7777479,267.3019573,-136.1971499,0
106,LLP,1,2,2,0,2,1,,,,-274.0636373,122.0209929,-163.3917105,-251.6011704,-150,-259.8076211,274.0636373,-122.0209929,0
107,LLP,2,2,2,0,0,1,,,,-251.6011704,163.3917105,62.37350725,293.4442802,-222.9434476,-200.7391819,251.6011704,-163.3917105,0
108,LLP,2,3,3,0,0,1,,,,-242.7050983,176.3355757,259.8076211,150,-77.64571353,-289.7777479,242.7050983,-176.3355757,0
109,LLP,2,2,2,0,0,1,,,,-274.0636373,122.0209929,-163.3917105,-251.6011704,-150,-259.8076211,274.0636373,-122.0209929,0
110,ERP,1,0,0,0,8,1,,,,-280.0741279,107.5103849,-5.51E-14,-300,251.6011704,163.3917105,280.0741279,-107.5103849,0
111,OLP,1,3,0,3,8,1,,,,-285.3169549,92.70509831,163.3917105,251.6011704,-62.37350725,-293.4442802,285.3169549,-92.70509831,0
112,ERP,1,0,0,0,8,1,,,,-289.7777479,77.64571353,136.1971499,267.3019573,-200.7391819,-222.9434476,289.7777479,-77.64571353,0
113,OLP,2,4,0,4,0,1,,,,-259.8076211,150,-92.70509831,-285.3169549,-242.7050983,-176.3355757,259.8076211,-150,0
114,LLP,2,3,3,0,0,1,,,,-267.3019573,136.1971499,-92.70509831,-285.3169549,-77.64571353,-289.7777479,267.3019573,-136.1971499,0
115,LLP,1,1,1,0,6,1,,,,-293.4442802,62.37350725,-150,259.8076211,-233.1437884,-188.7961173,293.4442802,-62.37350725,0
116,BL,0,0,0,0,0,1,,,,289.7777479,77.64571353,,,,,,,0
117,ERP,1,0,0,0,6,1,,,,-296.3065022,46.93033951,62.37350725,-293.4442802,-212.1320344,-212.1320344,296.3065022,-46.93033951,0
118,OLP,1,1,0,1,8,1,,,,-298.3565686,31.35853898,92.70509831,-285.3169549,77.64571353,289.7777479,298.3565686,-31.35853898,0
119,ERP,2,0,0,0,0,1,,,,-280.0741279,107.5103849,-5.51E-14,-300,251.6011704,163.3917105,280.0741279,-107.5103849,0
120,OLP,2,3,0,3,0,1,,,,-285.3169549,92.70509831,163.3917105,251.6011704,-62.37350725,-293.4442802,285.3169549,-92.70509831,0
121,ERP,2,0,0,0,0,1,,,,-289.7777479,77.64571353,136.1971499,267.3019573,-200.7391819,-222.9434476,289.7777479,-77.64571353,0
122,LLP,2,1,1,0,0,1,,,,-293.4442802,62.37350725,-150,259.8076211,-233.1437884,-188.7961173,293.4442802,-62.37350725,0
123,ERP,1,0,0,0,8,1,,,,-299.5888604,15.70078687,222.9434476,200.7391819,200.7391819,-222.9434476,299.5888604,-15.70078687,0
124,ERP,2,0,0,0,0,1,,,,-296.3065022,46.93033951,62.37350725,-293.4442802,-212.1320344,-212.1320344,296.3065022,-46.93033951,0
125,OLP,1,3,0,3,2,1,,,,-300,3.67E-14,-62.37350725,-293.4442802,222.9434476,200.7391819,300,-7.35E-14,0
126,ERP,1,0,0,0,8,1,,,,-299.5888604,-15.70078687,-136.1971499,267.3019573,233.1437884,-188.7961173,300,0,0
127,OLP,2,1,0,1,0,1,,,,-298.3565686,31.35853898,92.70509831,-285.3169549,77.64571353,289.7777479,298.3565686,-31.35853898,0
128,OLP,2,3,0,3,0,1,,,,-300,3.67E-14,-62.37350725,-293.4442802,222.9434476,200.7391819,300,-7.35E-14,0
129,ERP,1,0,0,0,8,2,,,,-298.3565686,-31.35853898,-77.64571353,289.7777479,150,-259.8076211,299.5888604,15.70078687,0
130,ERP,1,0,0,0,6,2,,,,-296.3065022,-46.93033951,212.1320344,-212.1320344,-222.9434476,200.7391819,298.3565686,31.35853898,0
131,BL,0,0,0,0,0,2,,,,289.7777479,77.64571353,,,,,,,0
132,ERP,2,0,0,0,0,2,,,,-299.5888604,15.70078687,222.9434476,200.7391819,200.7391819,-222.9434476,299.5888604,-15.70078687,0
133,LLP,1,1,1,0,8,2,,,,-293.4442802,-62.37350725,-62.37350725,-293.4442802,-233.1437884,188.7961173,296.3065022,46.93033951,0
134,LLP,1,3,3,0,8,2,,,,-289.7777479,-77.64571353,46.93033951,296.3065022,15.70078687,299.5888604,293.4442802,62.37350725,0
135,ERP,2,0,0,0,0,2,,,,-299.5888604,-15.70078687,-136.1971499,267.3019573,233.1437884,-188.7961173,300,0,0
136,OLP,1,1,0,1,4,2,,,,-285.3169549,-92.70509831,-15.70078687,299.5888604,-251.6011704,163.3917105,289.7777479,77.64571353,0
137,ERP,2,0,0,0,0,2,,,,-296.3065022,-46.93033951,212.1320344,-212.1320344,-222.9434476,200.7391819,298.3565686,31.35853898,0
138,ERP,2,0,0,0,0,2,,,,-298.3565686,-31.35853898,-77.64571353,289.7777479,150,-259.8076211,299.5888604,15.70078687,0
139,OLP,1,3,0,3,4,2,,,,-280.0741279,-107.5103849,77.64571353,289.7777479,-107.5103849,-280.0741279,285.3169549,92.70509831,0
140,OLP,1,4,0,4,6,2,,,,-274.0636373,-122.0209929,251.6011704,-163.3917105,31.35853898,298.3565686,280.0741279,107.5103849,0
141,OLP,2,1,0,1,0,2,,,,-285.3169549,-92.70509831,-15.70078687,299.5888604,-251.6011704,163.3917105,289.7777479,77.64571353,0
142,LLP,2,1,1,0,0,2,,,,-293.4442802,-62.37350725,-62.37350725,-293.4442802,-233.1437884,188.7961173,296.3065022,46.93033951,0
143,LLP,2,3,3,0,0,2,,,,-289.7777479,-77.64571353,46.93033951,296.3065022,15.70078687,299.5888604,293.4442802,62.37350725,0
144,OLP,2,3,0,3,0,2,,,,-280.0741279,-107.5103849,77.64571353,289.7777479,-107.5103849,-280.0741279,285.3169549,92.70509831,0
145,LLP,1,4,4,0,6,2,,,,-267.3019573,-136.1971499,274.0636373,-122.0209929,251.6011704,-163.3917105,274.0636373,122.0209929,0
