,Unnamed: 0,TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
34,34,35,LLP,2,0,1,,,,233.143788437091,188.79611731495098,289.77774788672,77.64571353075621,296.306502178541,46.9303395120693,289.77774788672,77.64571353075621,
35,35,36,LLP,1,4,1,,,,163.391710504508,251.60117038362702,122.02099292273998,274.06363729278,200.739181907657,222.943447643218,122.02099292273998,274.06363729278,
36,36,37,LLP,2,0,1,,,,200.739181907657,222.943447643218,1.83697019872103e-14,300.0,280.074127949161,107.51038486359,1.83697019872103e-14,300.0,
37,37,38,ERP,2,0,1,,,,212.132034355964,212.132034355964,267.30195725651004,136.197149921864,163.391710504508,251.60117038362702,267.30195725651004,136.197149921864,
38,38,39,OLP,2,0,1,,,,188.79611731495098,233.143788437091,-31.358538980296,298.356568610482,107.51038486359,280.074127949161,-31.358538980296,298.356568610482,
39,39,40,OLP,2,0,1,,,,176.335575687742,242.705098312484,-15.7007868728831,299.588860426372,267.30195725651004,136.197149921864,-15.7007868728831,299.588860426372,
40,40,41,LLP,2,0,1,,,,163.391710504508,251.60117038362702,122.02099292273998,274.06363729278,200.739181907657,222.943447643218,122.02099292273998,274.06363729278,
41,41,42,BL,0,0,1,,,,259.8076211,150.0,,,,,,,
42,42,43,LLP,1,5,1,,,,150.0,259.807621135332,92.70509831248421,285.316954888546,46.9303395120693,296.306502178541,92.70509831248421,285.316954888546,
43,43,44,OLP,1,8,1,,,,136.197149921864,267.30195725651004,259.807621135332,150.0,222.943447643218,200.739181907657,259.807621135332,150.0,
44,44,45,ERP,1,6,1,,,,122.02099292273998,274.06363729278,46.9303395120693,296.306502178541,267.30195725651004,136.197149921864,46.9303395120693,296.306502178541,
45,45,46,LLP,1,4,1,,,,107.51038486359,280.074127949161,150.0,259.807621135332,62.37350724532779,293.444280220142,150.0,259.807621135332,
46,46,47,ERP,1,8,1,,,,92.70509831248421,285.316954888546,251.60117038362702,163.391710504508,222.943447643218,200.739181907657,251.60117038362702,163.391710504508,
47,47,48,OLP,1,5,1,,,,77.6457135307563,289.77774788672,-92.70509831248421,285.316954888546,-122.02099292273998,274.06363729278,-92.70509831248421,285.316954888546,
48,48,49,LLP,2,0,1,,,,150.0,259.807621135332,92.70509831248421,285.316954888546,46.9303395120693,296.306502178541,92.70509831248421,285.316954888546,
49,49,50,OLP,1,6,1,,,,62.37350724532779,293.444280220142,233.143788437091,188.79611731495098,-15.7007868728831,299.588860426372,233.143788437091,188.79611731495098,
50,50,51,LLP,2,0,1,,,,107.51038486359,280.074127949161,150.0,259.807621135332,62.37350724532779,293.444280220142,150.0,259.807621135332,
51,51,52,ERP,2,0,1,,,,122.02099292273998,274.06363729278,46.9303395120693,296.306502178541,267.30195725651004,136.197149921864,46.9303395120693,296.306502178541,
52,52,53,OLP,2,0,1,,,,136.197149921864,267.30195725651004,259.807621135332,150.0,222.943447643218,200.739181907657,259.807621135332,150.0,
53,53,54,OLP,2,0,1,,,,77.6457135307563,289.77774788672,-92.70509831248421,285.316954888546,-122.02099292273998,274.06363729278,-92.70509831248421,285.316954888546,
54,54,55,ERP,1,4,1,,,,46.9303395120693,296.306502178541,92.70509831248421,285.316954888546,-62.3735072453277,293.444280220142,92.70509831248421,285.316954888546,
55,55,56,ERP,2,0,1,,,,92.70509831248421,285.316954888546,251.60117038362702,163.391710504508,222.943447643218,200.739181907657,251.60117038362702,163.391710504508,
56,56,57,OLP,2,0,1,,,,62.37350724532779,293.444280220142,233.143788437091,188.79611731495098,-15.7007868728831,299.588860426372,233.143788437091,188.79611731495098,
57,57,58,ERP,1,2,1,,,,31.358538980296107,298.356568610482,200.739181907657,222.943447643218,-136.197149921864,267.30195725651004,200.739181907657,222.943447643218,
58,58,59,OLP,1,2,1,,,,15.700786872883198,299.588860426372,62.37350724532779,293.444280220142,150.0,259.807621135332,62.37350724532779,293.444280220142,
59,59,60,ERP,2,0,1,,,,46.9303395120693,296.306502178541,92.70509831248421,285.316954888546,-62.3735072453277,293.444280220142,92.70509831248421,285.316954888546,
60,60,61,ERP,2,0,1,,,,31.358538980296107,298.356568610482,200.739181907657,222.943447643218,-136.197149921864,267.30195725651004,200.739181907657,222.943447643218,
61,61,62,OLP,2,0,1,,,,15.700786872883198,299.588860426372,62.37350724532779,293.444280220142,150.0,259.807621135332,62.37350724532779,293.444280220142,
62,62,63,BL,0,0,1,,,,259.8076211,150.0,,,,,,,
63,63,64,OLP,1,4,1,,,,1.83697019872103e-14,300.0,150.0,259.807621135332,-200.739181907657,222.943447643218,150.0,259.807621135332,
64,64,65,OLP,1,2,1,,,,-15.7007868728831,299.588860426372,163.391710504508,251.60117038362702,136.197149921864,267.30195725651004,163.391710504508,251.60117038362702,
65,65,66,ERP,1,6,1,,,,-31.358538980296,298.356568610482,150.0,259.807621135332,77.6457135307563,289.77774788672,150.0,259.807621135332,
66,66,67,LLP,1,4,1,,,,-46.9303395120692,296.306502178541,46.9303395120693,296.306502178541,-92.70509831248421,285.316954888546,46.9303395120693,296.306502178541,
