,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Lure1_Distance,Lure1_Index,Lure2_Distance,Lure2_Index,Foil_Distance,Foil_Index
36,-92.70509831248421,285.316954888546,-233.143788437091,188.79611731495098,-233.143788437091,188.79611731495098,-233.143788437091,188.79611731495098,11,47,14,50,59,95
37,-107.51038486359,280.074127949161,-188.79611731495098,233.143788437091,-188.79611731495098,233.143788437091,-188.79611731495098,233.143788437091,6,43,-3,34,61,98
38,-122.02099292273998,274.06363729278,92.70509831248421,285.316954888546,92.70509831248421,285.316954888546,92.70509831248421,285.316954888546,-14,24,-9,29,58,96
39,-136.197149921864,267.30195725651004,-285.316954888546,92.7050983124843,-285.316954888546,92.7050983124843,-285.316954888546,92.7050983124843,15,54,13,52,59,98
40,-150.0,259.807621135332,-62.3735072453277,293.444280220142,-62.3735072453277,293.444280220142,-62.3735072453277,293.444280220142,-6,34,-6,34,61,101
41,-163.391710504508,251.60117038362702,-280.07412794916,107.51038486359,-280.07412794916,107.51038486359,-280.07412794916,107.51038486359,12,53,4,45,59,100
42,-176.335575687742,242.705098312484,-31.358538980296,298.356568610482,-31.358538980296,298.356568610482,-31.358538980296,298.356568610482,-10,32,7,49,62,104
43,-188.79611731495098,233.143788437091,-77.64571353075621,289.77774788672,-77.64571353075621,289.77774788672,-77.64571353075621,289.77774788672,-8,35,-15,28,60,103
44,-200.739181907657,222.943447643218,-242.705098312484,176.335575687742,-242.705098312484,176.335575687742,-242.705098312484,176.335575687742,4,48,-5,39,59,103
45,-212.132034355964,212.132034355964,-136.197149921864,267.30195725651004,-136.197149921864,267.30195725651004,-136.197149921864,267.30195725651004,-6,39,-14,31,61,106
46,-222.943447643218,200.739181907658,-62.3735072453277,293.444280220142,-62.3735072453277,293.444280220142,-62.3735072453277,293.444280220142,-12,34,14,60,59,105
47,-233.143788437091,188.79611731495098,-289.77774788672,77.6457135307563,-289.77774788672,77.6457135307563,-289.77774788672,77.6457135307563,8,55,8,55,61,108
48,-242.705098312484,176.335575687742,-200.739181907657,222.943447643218,-200.739181907657,222.943447643218,-200.739181907657,222.943447643218,-4,44,-3,45,62,110
49,-251.60117038362702,163.391710504508,-298.356568610482,-31.358538980295897,-298.356568610482,-31.358538980295897,-298.356568610482,-31.358538980295897,13,62,-3,46,58,107
50,-259.807621135332,150.0,-296.306502178541,46.9303395120693,-296.306502178541,46.9303395120693,-296.306502178541,46.9303395120693,7,57,5,55,59,109
51,-267.30195725651004,136.197149921864,-289.777747886721,-77.6457135307561,-289.777747886721,-77.6457135307561,-289.777747886721,-77.6457135307561,14,65,7,58,59,110
