TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
69,OLP,2,0,1,,,,1.84E-14,300,-212.1320344,212.1320344,-136.1971499,267.3019573,-5.51E-14,-300,0
70,LLP,1,8,1,,,,-62.37350725,293.4442802,-122.0209929,274.0636373,46.93033951,296.3065022,46.93033951,-296.3065022,0
71,OLP,1,6,1,,,,-77.64571353,289.7777479,77.64571353,289.7777479,-136.1971499,267.3019573,46.93033951,-296.3065022,0
72,LLP,2,0,1,,,,-46.93033951,296.3065022,15.70078687,299.5888604,-136.1971499,267.3019573,62.37350725,-293.4442802,0
73,ERP,2,0,1,,,,-31.35853898,298.3565686,-176.3355757,242.7050983,31.35853898,298.3565686,-5.51E-14,-300,0
74,OLP,1,8,1,,,,-92.70509831,285.3169549,-242.7050983,176.3355757,122.0209929,274.0636373,62.37350725,-293.4442802,0
75,OLP,1,5,1,,,,-107.5103849,280.0741279,-274.0636373,122.0209929,122.0209929,274.0636373,136.1971499,-267.3019573,0
76,LLP,1,5,1,,,,-122.0209929,274.0636373,-233.1437884,188.7961173,-251.6011704,163.3917105,107.5103849,-280.0741279,0
77,OLP,1,2,1,,,,-136.1971499,267.3019573,-233.1437884,188.7961173,92.70509831,285.3169549,163.3917105,-251.6011704,0
78,OLP,2,0,1,,,,-77.64571353,289.7777479,77.64571353,289.7777479,-136.1971499,267.3019573,46.93033951,-296.3065022,0
79,LLP,2,0,1,,,,-62.37350725,293.4442802,-122.0209929,274.0636373,46.93033951,296.3065022,46.93033951,-296.3065022,0
80,OLP,2,0,1,,,,-136.1971499,267.3019573,-233.1437884,188.7961173,92.70509831,285.3169549,163.3917105,-251.6011704,0
81,OLP,2,0,1,,,,-107.5103849,280.0741279,-274.0636373,122.0209929,122.0209929,274.0636373,136.1971499,-267.3019573,0
82,LLP,2,0,1,,,,-122.0209929,274.0636373,-233.1437884,188.7961173,-251.6011704,163.3917105,107.5103849,-280.0741279,0
83,OLP,2,0,1,,,,-92.70509831,285.3169549,-242.7050983,176.3355757,122.0209929,274.0636373,62.37350725,-293.4442802,0
84,BL,0,0,1,,,,259.8076211,150,,,,,,,0
85,ERP,1,6,2,,,,-150,259.8076211,-31.35853898,298.3565686,46.93033951,296.3065022,122.0209929,-274.0636373,0
86,LLP,1,2,2,,,,-163.3917105,251.6011704,-222.9434476,200.7391819,31.35853898,298.3565686,150,-259.8076211,0
87,OLP,1,5,2,,,,-176.3355757,242.7050983,-274.0636373,122.0209929,-122.0209929,274.0636373,188.7961173,-233.1437884,0
88,LLP,1,6,2,,,,-188.7961173,233.1437884,-92.70509831,285.3169549,-289.7777479,77.64571353,176.3355757,-242.7050983,0
89,LLP,2,0,2,,,,-163.3917105,251.6011704,-222.9434476,200.7391819,31.35853898,298.3565686,150,-259.8076211,0
90,OLP,1,5,2,,,,-200.7391819,222.9434476,-77.64571353,289.7777479,-298.3565686,31.35853898,200.7391819,-222.9434476,0
91,OLP,1,8,2,,,,-212.1320344,212.1320344,1.84E-14,300,-299.5888604,15.70078687,212.1320344,-212.1320344,0
92,ERP,2,0,2,,,,-150,259.8076211,-31.35853898,298.3565686,46.93033951,296.3065022,122.0209929,-274.0636373,0
93,OLP,2,0,2,,,,-176.3355757,242.7050983,-274.0636373,122.0209929,-122.0209929,274.0636373,188.7961173,-233.1437884,0
94,ERP,1,8,2,,,,-222.9434476,200.7391819,-293.4442802,62.37350725,-92.70509831,285.3169549,242.7050983,-176.3355757,0
95,LLP,2,0,2,,,,-188.7961173,233.1437884,-92.70509831,285.3169549,-289.7777479,77.64571353,176.3355757,-242.7050983,0
96,OLP,2,0,2,,,,-200.7391819,222.9434476,-77.64571353,289.7777479,-298.3565686,31.35853898,200.7391819,-222.9434476,0
97,ERP,1,4,2,,,,-233.1437884,188.7961173,-136.1971499,267.3019573,-92.70509831,285.3169549,212.1320344,-212.1320344,0
98,ERP,1,2,2,,,,-242.7050983,176.3355757,-267.3019573,136.1971499,-300,3.67E-14,222.9434476,-200.7391819,0
99,ERP,1,4,2,,,,-251.6011704,163.3917105,-222.9434476,200.7391819,-296.3065022,-46.93033951,251.6011704,-163.3917105,0
100,OLP,2,0,2,,,,-212.1320344,212.1320344,1.84E-14,300,-299.5888604,15.70078687,212.1320344,-212.1320344,0
101,ERP,2,0,2,,,,-242.7050983,176.3355757,-267.3019573,136.1971499,-300,3.67E-14,222.9434476,-200.7391819,0
102,ERP,2,0,2,,,,-233.1437884,188.7961173,-136.1971499,267.3019573,-92.70509831,285.3169549,212.1320344,-212.1320344,0
103,ERP,2,0,2,,,,-222.9434476,200.7391819,-293.4442802,62.37350725,-92.70509831,285.3169549,242.7050983,-176.3355757,0
104,ERP,2,0,2,,,,-251.6011704,163.3917105,-222.9434476,200.7391819,-296.3065022,-46.93033951,251.6011704,-163.3917105,0
105,BL,0,0,2,,,,259.8076211,150,,,,,,,0
106,OLP,1,5,2,,,,-259.8076211,150,-150,259.8076211,-300,3.67E-14,274.0636373,-122.0209929,0
107,LLP,1,6,2,,,,-267.3019573,136.1971499,-299.5888604,15.70078687,-285.3169549,92.70509831,280.0741279,-107.5103849,0
108,ERP,1,4,2,,,,-274.0636373,122.0209929,-136.1971499,267.3019573,-289.7777479,-77.64571353,274.0636373,-122.0209929,0
109,LLP,1,8,2,,,,-280.0741279,107.5103849,-285.3169549,-92.70509831,-298.3565686,31.35853898,280.0741279,-107.5103849,0
110,OLP,1,8,2,,,,-285.3169549,92.70509831,-267.3019573,136.1971499,-274.0636373,-122.0209929,274.0636373,-122.0209929,0
111,ERP,1,4,2,,,,-289.7777479,77.64571353,-299.5888604,15.70078687,-212.1320344,212.1320344,293.4442802,-62.37350725,0
112,OLP,2,0,2,,,,-259.8076211,150,-150,259.8076211,-300,3.67E-14,274.0636373,-122.0209929,0
113,ERP,2,0,2,,,,-274.0636373,122.0209929,-136.1971499,267.3019573,-289.7777479,-77.64571353,274.0636373,-122.0209929,0
114,LLP,2,0,2,,,,-267.3019573,136.1971499,-299.5888604,15.70078687,-285.3169549,92.70509831,280.0741279,-107.5103849,0
115,ERP,1,5,2,,,,-293.4442802,62.37350725,-285.3169549,-92.70509831,-274.0636373,-122.0209929,296.3065022,-46.93033951,0
116,ERP,2,0,2,,,,-289.7777479,77.64571353,-299.5888604,15.70078687,-212.1320344,212.1320344,293.4442802,-62.37350725,0
117,ERP,1,6,2,,,,-296.3065022,46.93033951,-251.6011704,-163.3917105,-274.0636373,122.0209929,293.4442802,-62.37350725,0
118,LLP,2,0,2,,,,-280.0741279,107.5103849,-285.3169549,-92.70509831,-298.3565686,31.35853898,280.0741279,-107.5103849,0
119,OLP,2,0,2,,,,-285.3169549,92.70509831,-267.3019573,136.1971499,-274.0636373,-122.0209929,274.0636373,-122.0209929,0
120,OLP,1,2,2,,,,-298.3565686,31.35853898,-233.1437884,188.7961173,-251.6011704,-163.3917105,298.3565686,-31.35853898,0
121,ERP,2,0,2,,,,-293.4442802,62.37350725,-285.3169549,-92.70509831,-274.0636373,-122.0209929,296.3065022,-46.93033951,0
122,OLP,1,2,2,,,,-299.5888604,15.70078687,-289.7777479,77.64571353,-274.0636373,-122.0209929,299.5888604,15.70078687,0
123,OLP,2,0,2,,,,-298.3565686,31.35853898,-233.1437884,188.7961173,-251.6011704,-163.3917105,298.3565686,-31.35853898,0
124,ERP,2,0,2,,,,-296.3065022,46.93033951,-251.6011704,-163.3917105,-274.0636373,122.0209929,293.4442802,-62.37350725,0
125,OLP,2,0,2,,,,-299.5888604,15.70078687,-289.7777479,77.64571353,-274.0636373,-122.0209929,299.5888604,15.70078687,0
126,BL,0,0,2,,,,259.8076211,150,,,,,,,0
127,ERP,1,8,2,,,,-300,3.67E-14,-267.3019573,136.1971499,-251.6011704,163.3917105,299.5888604,-15.70078687,0
128,LLP,1,2,2,,,,-299.5888604,-15.70078687,-280.0741279,-107.5103849,-222.9434476,200.7391819,298.3565686,31.35853898,0
129,LLP,1,4,2,,,,-298.3565686,-31.35853898,-285.3169549,-92.70509831,-267.3019573,-136.1971499,300,-7.35E-14,0
130,ERP,1,6,2,,,,-296.3065022,-46.93033951,-242.7050983,176.3355757,-242.7050983,176.3355757,299.5888604,15.70078687,0
131,LLP,2,0,2,,,,-299.5888604,-15.70078687,-280.0741279,-107.5103849,-222.9434476,200.7391819,298.3565686,31.35853898,0
132,ERP,1,8,2,,,,-293.4442802,-62.37350725,-267.3019573,-136.1971499,-274.0636373,-122.0209929,298.3565686,31.35853898,0
133,OLP,1,5,2,,,,-289.7777479,-77.64571353,-300,3.67E-14,-259.8076211,150,285.3169549,92.70509831,0
134,LLP,2,0,2,,,,-298.3565686,-31.35853898,-285.3169549,-92.70509831,-267.3019573,-136.1971499,300,-7.35E-14,0
