TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
19,3000,,2,LOC,TARGET,stimuli/fractals/128b.jpg,0.078125,-0.4166666666666667,24.0,ERP,stimuli/fractals/128b.jpg,0.078125,-0.4166666666666667,stimuli/fractals/128b.jpg,stimuli/fractals/128a.jpg,stimuli/fractals/128c.jpg,0.078125,-0.4166666666666667,0.078125,-0.1388888888888889,-0.078125,-0.4166666666666667,0.390625,0.4166666666666667
20,2000,,2,LOC,FOIL,stimuli/fractals/41b.jpg,0.390625,-0.4166666666666667,28.0,OLP,stimuli/fractals/41b.jpg,-0.234375,0.1388888888888889,stimuli/fractals/41b.jpg,stimuli/fractals/41a.jpg,stimuli/fractals/41c.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.234375,0.4166666666666667,0.390625,-0.4166666666666667
21,1000,,2,LOC,LURE,stimuli/fractals/42b.jpg,-0.078125,0.4166666666666667,23.0,LLP,stimuli/fractals/42b.jpg,-0.078125,0.1388888888888889,stimuli/fractals/42b.jpg,stimuli/fractals/42a.jpg,stimuli/fractals/42c.jpg,-0.078125,0.1388888888888889,0.078125,0.1388888888888889,-0.078125,0.4166666666666667,0.390625,-0.4166666666666667
22,3000,,2,LOC,TARGET,stimuli/fractals/118a.jpg,-0.234375,-0.1388888888888889,25.0,ERP,stimuli/fractals/118a.jpg,-0.234375,-0.1388888888888889,stimuli/fractals/118a.jpg,stimuli/fractals/118c.jpg,stimuli/fractals/118b.jpg,-0.234375,-0.1388888888888889,-0.234375,0.1388888888888889,-0.078125,-0.1388888888888889,0.390625,0.4166666666666667
23,1000,,2,LOC,TARGET,stimuli/fractals/71b.jpg,0.234375,-0.1388888888888889,34.0,ERP,stimuli/fractals/71b.jpg,0.234375,-0.1388888888888889,stimuli/fractals/71b.jpg,stimuli/fractals/71a.jpg,stimuli/fractals/71c.jpg,0.234375,-0.1388888888888889,0.078125,-0.1388888888888889,0.390625,-0.1388888888888889,-0.390625,0.1388888888888889
24,1000,,2,LOC,TARGET,stimuli/fractals/60c.jpg,0.390625,0.1388888888888889,36.0,LLP,stimuli/fractals/60c.jpg,0.390625,0.1388888888888889,stimuli/fractals/60c.jpg,stimuli/fractals/60b.jpg,stimuli/fractals/60a.jpg,0.390625,0.1388888888888889,0.390625,0.4166666666666667,0.234375,0.1388888888888889,-0.390625,0.4166666666666667
25,1000,,2,LOC,FOIL,stimuli/fractals/49c.jpg,0.234375,0.4166666666666667,38.0,LLP,stimuli/fractals/49c.jpg,-0.234375,-0.1388888888888889,stimuli/fractals/49c.jpg,stimuli/fractals/49a.jpg,stimuli/fractals/49b.jpg,-0.234375,-0.1388888888888889,-0.390625,-0.1388888888888889,-0.078125,-0.1388888888888889,0.234375,0.4166666666666667
26,5000,,2,LOC,TARGET,stimuli/fractals/15a.jpg,0.234375,0.1388888888888889,47.0,LLP,stimuli/fractals/15a.jpg,0.234375,0.1388888888888889,stimuli/fractals/15a.jpg,stimuli/fractals/15c.jpg,stimuli/fractals/15b.jpg,0.234375,0.1388888888888889,0.390625,0.1388888888888889,0.078125,0.1388888888888889,-0.390625,-0.4166666666666667
27,500,,2,LOC,FOIL,stimuli/fractals/43a.jpg,-0.390625,0.4166666666666667,30.0,OLP,stimuli/fractals/43a.jpg,0.078125,-0.1388888888888889,stimuli/fractals/43a.jpg,stimuli/fractals/43c.jpg,stimuli/fractals/43b.jpg,0.078125,-0.1388888888888889,0.234375,-0.1388888888888889,-0.078125,-0.1388888888888889,-0.390625,0.4166666666666667
28,1000,,2,LOC,LURE,stimuli/fractals/36c.jpg,-0.078125,0.1388888888888889,35.0,OLP,stimuli/fractals/36c.jpg,0.078125,0.1388888888888889,stimuli/fractals/36c.jpg,stimuli/fractals/36a.jpg,stimuli/fractals/36b.jpg,0.078125,0.1388888888888889,0.078125,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667
